instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
Breast Cancer,3,0.0,3,0.8405797101449275,0.7971014492753623,0.7,600.522488117218,1.0
Breast Cancer,3,0.01,3,0.8260869565217391,0.782608695652174,0.7,600.4717907905579,0.8668091168091165
Breast Cancer,3,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,130.0187211036682,0.0
Breast Cancer,4,0.0,3,0.8478260869565217,0.7971014492753623,0.6714285714285714,600.7996892929077,1.0
Breast Cancer,4,0.01,3,0.8043478260869565,0.7971014492753623,0.7,600.5735139846802,0.8925619834710742
Breast Cancer,4,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,205.53810596466064,0.0
Car Evaluation,1,0.0,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,1.823194980621338,0.0
Car Evaluation,1,0.01,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,2.3678529262542725,0.0
Car Evaluation,1,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,1.8595657348632808,0.0
Car Evaluation,2,0.0,1,0.7638888888888888,0.7476851851851852,0.8009259259259259,601.1585967540741,0.9705882352941176
Car Evaluation,2,0.01,1,0.7638888888888888,0.7476851851851852,0.8009259259259259,303.9671268463135,0.0
Car Evaluation,2,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,292.82649970054626,0.0
Car Evaluation,3,0.0,1,0.7696759259259259,0.7407407407407407,0.8055555555555556,601.6322560310364,0.9899497487437188
Car Evaluation,3,0.01,1,0.8009259259259259,0.8009259259259259,0.8194444444444444,601.5773611068726,0.9008980946664796
Car Evaluation,3,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,601.47944688797,0.5238889050168135
Car Evaluation,4,0.0,1,0.7800925925925926,0.7337962962962963,0.7962962962962963,603.6873352527618,0.9947368421052633
Car Evaluation,4,0.01,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,603.5664517879486,0.972638007751938
Car Evaluation,4,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,603.6455230712891,0.7042951614497528
Car Evaluation,1,0.0,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,1.5447070598602295,0.0
Car Evaluation,1,0.01,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,2.1038379669189453,0.0
Car Evaluation,1,0.1,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,2.0006120204925537,0.0
Car Evaluation,2,0.0,2,0.7824074074074074,0.7685185185185185,0.7777777777777778,600.6105110645294,0.8670212765957447
Car Evaluation,2,0.01,2,0.7824074074074074,0.7685185185185185,0.7777777777777778,600.6599342823029,0.7300566047872142
Car Evaluation,2,0.1,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,455.33166003227234,0.0
Car Evaluation,3,0.0,2,0.8194444444444444,0.7893518518518519,0.7847222222222222,601.6928839683533,0.9935897435897436
Car Evaluation,3,0.01,2,0.7268518518518519,0.75,0.7152777777777778,601.548910856247,0.952152558137841
Car Evaluation,3,0.1,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,601.5036160945892,0.4543368973917249
Car Evaluation,4,0.0,2,0.8449074074074074,0.7916666666666666,0.8055555555555556,605.7298078536987,0.9925373134328358
