instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
Breast Cancer,3,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,600.2908589839935,0.2906976744186042
Breast Cancer,1,0.0,3,0.7608695652173914,0.7536231884057971,0.6714285714285714,0.1814081668853759,0.0
Breast Cancer,1,0.01,3,0.7608695652173914,0.7536231884057971,0.6714285714285714,0.1728200912475586,0.0
Breast Cancer,1,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,0.1572098731994629,0.0
Breast Cancer,2,0.0,3,0.8043478260869565,0.7971014492753623,0.7,42.21190595626831,0.0
Breast Cancer,2,0.01,3,0.8043478260869565,0.7971014492753623,0.7,47.99033999443054,0.0
Breast Cancer,2,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,26.57056903839112,0.0
Breast Cancer,3,0.0,3,0.8405797101449275,0.7971014492753623,0.7,600.6679208278656,1.0
Breast Cancer,3,0.01,3,0.8043478260869565,0.7971014492753623,0.7,600.3754680156708,0.8856749311294765
Breast Cancer,3,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,114.69580006599426,0.0
Car Evaluation,1,0.0,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,1.868146896362305,0.0
Car Evaluation,1,0.01,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,3.109278917312622,0.0
Car Evaluation,1,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,3.031451940536499,0.0
Car Evaluation,2,0.0,1,0.7638888888888888,0.7476851851851852,0.8009259259259259,600.8571560382843,0.8823529411764707
Car Evaluation,2,0.01,1,0.7638888888888888,0.7476851851851852,0.8009259259259259,600.619714975357,0.768141525669895
Car Evaluation,2,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,529.7656757831573,0.0
Car Evaluation,3,0.0,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,601.5401599407196,0.996124031007752
Car Evaluation,3,0.01,1,0.8009259259259259,0.8009259259259259,0.8194444444444444,601.8294408321381,0.9260108953020004
Car Evaluation,3,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,601.6790499687195,0.510142118863049
Car Evaluation,1,0.0,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,1.5100250244140625,0.0
Car Evaluation,1,0.01,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,2.922568082809448,0.0
Car Evaluation,1,0.1,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,2.517788887023926,0.0
Car Evaluation,2,0.0,2,0.7824074074074074,0.7685185185185185,0.7777777777777778,601.1403748989105,0.9787234042553192
Car Evaluation,2,0.01,2,0.7824074074074074,0.7685185185185185,0.7777777777777778,600.6157569885254,0.6653886670247939
Car Evaluation,2,0.1,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,426.49912428855896,0.0
Car Evaluation,3,0.0,2,0.8125,0.7962962962962963,0.8009259259259259,601.6204569339752,0.9938271604938272
Car Evaluation,3,0.01,2,0.8125,0.7962962962962963,0.8009259259259259,601.5517899990082,0.9200547335923712
Car Evaluation,3,0.1,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,601.5377790927887,0.5404580152671755
Car Evaluation,1,0.0,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,3.045883893966675,0.0
Car Evaluation,1,0.01,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,2.756833076477051,0.0
Car Evaluation,1,0.1,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,1.931079864501953,0.0
Car Evaluation,2,0.0,3,0.7777777777777778,0.7847222222222222,0.7708333333333334,600.7281091213226,0.9114583333333331
Car Evaluation,2,0.01,3,0.7777777777777778,0.7847222222222222,0.7708333333333334,489.50895285606384,0.0
Car Evaluation,2,0.1,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,600.680093050003,0.2836788166586383
Car Evaluation,3,0.0,3,0.8090277777777778,0.8032407407407407,0.7453703703703703,601.5037071704865,1.0
Car Evaluation,3,0.01,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,601.5100109577179,0.919841482585634
Car Evaluation,3,0.1,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,601.5532040596008,0.4946964040816327
Credit Approval,1,0.0,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,0.7888329029083252,0.0
Credit Approval,1,0.01,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,1.9080519676208496,0.0
Credit Approval,1,0.1,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,2.206750869750977,0.0
Credit Approval,2,0.0,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,600.2995488643646,1.0
Credit Approval,2,0.01,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,600.3167150020599,0.9229480737018426
Credit Approval,2,0.1,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,600.3423368930817,0.1698113207547169
Credit Approval,3,0.0,1,0.8680981595092024,0.8895705521472392,0.8658536585365854,600.7267329692841,1.0
Credit Approval,3,0.1,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,600.6577270030975,0.7012578616352201
