instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time
Heart Disease,3,0.1,2,0.6081081081081081,0.5,0.4533333333333333,0.0009322166442871094
Heart Disease,4,0,2,0.75,0.43243243243243246,0.4666666666666667,0.0009210109710693359
Heart Disease,4,0.01,2,0.75,0.43243243243243246,0.4666666666666667,0.0013439655303955078
Heart Disease,4,0.1,2,0.6081081081081081,0.5,0.4533333333333333,0.0019028186798095703
Heart Disease,1,0,3,0.5405405405405406,0.5675675675675675,0.5333333333333333,0.0006978511810302734
Heart Disease,1,0.01,3,0.5405405405405406,0.5675675675675675,0.5333333333333333,0.0010750293731689453
Heart Disease,1,0.1,3,0.5135135135135135,0.5540540540540541,0.5733333333333334,0.0009090900421142578
Heart Disease,2,0,3,0.5743243243243243,0.5405405405405406,0.5333333333333333,0.0008578300476074219
Heart Disease,2,0.01,3,0.5743243243243243,0.5405405405405406,0.5333333333333333,0.001024007797241211
Heart Disease,2,0.1,3,0.5135135135135135,0.5540540540540541,0.5733333333333334,0.0009851455688476562
Heart Disease,3,0,3,0.6486486486486487,0.5540540540540541,0.5733333333333334,0.0012028217315673828
Heart Disease,3,0.01,3,0.6486486486486487,0.5540540540540541,0.5733333333333334,0.0018990039825439453
Heart Disease,3,0.1,3,0.5135135135135135,0.5540540540540541,0.5733333333333334,0.0011150836944580078
Heart Disease,4,0,3,0.6824324324324325,0.5540540540540541,0.56,0.0017478466033935547
Heart Disease,4,0.01,3,0.6824324324324325,0.5540540540540541,0.56,0.0014240741729736328
Heart Disease,4,0.1,3,0.5135135135135135,0.5540540540540541,0.5733333333333334,0.0012178421020507812
Ionosphere,1,0,1,0.88,0.7954545454545454,0.8068181818181818,0.0009491443634033203
Ionosphere,1,0.01,1,0.88,0.7954545454545454,0.8068181818181818,0.001077890396118164
Ionosphere,1,0.1,1,0.88,0.7954545454545454,0.8068181818181818,0.0010938644409179688
Ionosphere,2,0,1,0.9028571428571428,0.7954545454545454,0.8409090909090909,0.0013837814331054688
Ionosphere,2,0.01,1,0.9028571428571428,0.7954545454545454,0.8409090909090909,0.002482891082763672
Ionosphere,2,0.1,1,0.88,0.7954545454545454,0.8068181818181818,0.001463174819946289
Ionosphere,3,0,1,0.9028571428571428,0.7954545454545454,0.8409090909090909,0.0020411014556884766
Ionosphere,3,0.01,1,0.9028571428571428,0.7954545454545454,0.8409090909090909,0.0019979476928710938
Ionosphere,3,0.1,1,0.88,0.7954545454545454,0.8068181818181818,0.002480030059814453
Ionosphere,4,0,1,0.92,0.75,0.8181818181818182,0.001730203628540039
Ionosphere,4,0.01,1,0.92,0.75,0.8181818181818182,0.0018229484558105469
Ionosphere,4,0.1,1,0.88,0.7954545454545454,0.8068181818181818,0.0018110275268554688
Ionosphere,1,0,2,0.8914285714285715,0.7840909090909091,0.8068181818181818,0.0009169578552246094
Ionosphere,1,0.01,2,0.8914285714285715,0.7840909090909091,0.8068181818181818,0.0010180473327636719
Ionosphere,1,0.1,2,0.8914285714285715,0.7840909090909091,0.8068181818181818,0.0013430118560791016
Ionosphere,2,0,2,0.9028571428571428,0.75,0.7727272727272727,0.001360177993774414
Ionosphere,2,0.01,2,0.9028571428571428,0.75,0.7727272727272727,0.0021162033081054688
Ionosphere,2,0.1,2,0.8914285714285715,0.7840909090909091,0.8068181818181818,0.0014100074768066406
Ionosphere,3,0,2,0.9028571428571428,0.75,0.7727272727272727,0.0019383430480957031
Ionosphere,3,0.01,2,0.9028571428571428,0.75,0.7727272727272727,0.001856088638305664
Ionosphere,3,0.1,2,0.8914285714285715,0.7840909090909091,0.8068181818181818,0.002335071563720703
Ionosphere,4,0,2,0.92,0.7386363636363636,0.7954545454545454,0.00168609619140625
Ionosphere,4,0.01,2,0.92,0.7386363636363636,0.7954545454545454,0.0018150806427001953
Ionosphere,4,0.1,2,0.8914285714285715,0.7840909090909091,0.8068181818181818,0.0017931461334228516
Ionosphere,1,0,3,0.84,0.7727272727272727,0.9090909090909091,0.0009510517120361328
Ionosphere,1,0.01,3,0.84,0.7727272727272727,0.9090909090909091,0.0015349388122558594
Ionosphere,1,0.1,3,0.84,0.7727272727272727,0.9090909090909091,0.0011699199676513672
Ionosphere,2,0,3,0.84,0.7727272727272727,0.9090909090909091,0.0018191337585449219
Ionosphere,2,0.01,3,0.84,0.7727272727272727,0.9090909090909091,0.0019729137420654297
Ionosphere,2,0.1,3,0.84,0.7727272727272727,0.9090909090909091,0.0017590522766113281
Ionosphere,3,0,3,0.8685714285714285,0.6931818181818182,0.9204545454545454,0.0017170906066894531
Ionosphere,3,0.01,3,0.8685714285714285,0.6931818181818182,0.9204545454545454,0.0017480850219726562
Ionosphere,3,0.1,3,0.84,0.7727272727272727,0.9090909090909091,0.0016911029815673828
Ionosphere,4,0,3,0.88,0.75,0.8977272727272727,0.0018239021301269531
Ionosphere,4,0.01,3,0.8742857142857143,0.7045454545454546,0.8977272727272727,0.002007007598876953
Ionosphere,4,0.1,3,0.84,0.7727272727272727,0.9090909090909091,0.0017800331115722656
Iris,1,0,1,0.6933333333333334,0.7297297297297297,0.5526315789473685,0.0007240772247314453
Iris,1,0.01,1,0.6933333333333334,0.7297297297297297,0.5526315789473685,0.0010182857513427734
Iris,1,0.1,1,0.6933333333333334,0.7297297297297297,0.5526315789473685,0.0009491443634033203
Iris,2,0,1,0.96,0.8378378378378378,0.9473684210526315,0.0016810894012451172
Iris,2,0.01,1,0.96,0.8378378378378378,0.9473684210526315,0.0012269020080566406
Iris,2,0.1,1,0.96,0.8378378378378378,0.9473684210526315,0.0008587837219238281
Iris,3,0,1,0.9733333333333334,0.7567567567567568,0.9473684210526315,0.001081705093383789
Iris,3,0.01,1,0.9733333333333334,0.7567567567567568,0.9473684210526315,0.0007870197296142578
Iris,3,0.1,1,0.96,0.8378378378378378,0.9473684210526315,0.0006859302520751953
Iris,4,0,1,0.9733333333333334,0.7567567567567568,0.9473684210526315,0.0007951259613037109
Iris,4,0.01,1,0.9733333333333334,0.7567567567567568,0.9473684210526315,0.0009710788726806641
Iris,4,0.1,1,0.96,0.8378378378378378,0.9473684210526315,0.0006401538848876953
Iris,1,0,2,0.6666666666666666,0.5945945945945946,0.7368421052631579,0.000659942626953125
Iris,1,0.01,2,0.6666666666666666,0.5945945945945946,0.7368421052631579,0.0007548332214355469
Iris,1,0.1,2,0.6666666666666666,0.5945945945945946,0.7368421052631579,0.0009698867797851562
Iris,2,0,2,0.9466666666666667,0.8918918918918919,0.9210526315789473,0.000843048095703125
Iris,2,0.01,2,0.9466666666666667,0.8918918918918919,0.9210526315789473,0.0008561611175537109
Iris,2,0.1,2,0.9466666666666667,0.8918918918918919,0.9210526315789473,0.0009021759033203125
Iris,3,0,2,0.9466666666666667,0.8918918918918919,0.9210526315789473,0.0006959438323974609
Iris,3,0.01,2,0.9466666666666667,0.8918918918918919,0.9210526315789473,0.0007970333099365234
Iris,3,0.1,2,0.9466666666666667,0.8918918918918919,0.9210526315789473,0.0009937286376953125
Iris,4,0,2,0.96,0.8648648648648649,1.0,0.0008261203765869141
Iris,4,0.01,2,0.96,0.8648648648648649,1.0,0.0006718635559082031
Iris,4,0.1,2,0.9466666666666667,0.8918918918918919,0.9210526315789473,0.0006968975067138672
Iris,1,0,3,0.64,0.5945945945945946,0.7894736842105263,0.0005331039428710938
Iris,1,0.01,3,0.64,0.5945945945945946,0.7894736842105263,0.0005958080291748047
Iris,1,0.1,3,0.64,0.5945945945945946,0.7894736842105263,0.0010230541229248047
Iris,2,0,3,0.9466666666666667,0.918918918918919,0.8947368421052632,0.0007359981536865234
Iris,2,0.01,3,0.9466666666666667,0.918918918918919,0.8947368421052632,0.0009801387786865234
Iris,2,0.1,3,0.9466666666666667,0.918918918918919,0.8947368421052632,0.0013778209686279297
